title,brand,final_price,images_count,weight,rating,reviews_count
Grumpy Monkey,Suzanne Lang,6.97,1,13.6,4.8,19016
First Little Readers Parent Pack: Guided Reading Level A: 25 Irresistible Books That Are Just the Right Level for Beginning Readers,Deborah Schecter,13.29,1,14.4,4.7,23367
The Wonky Donkey,Craig Smith,5.28,3,2.56,4.8,64835
Where the Crawdads Sing,Delia Owens,24.99,1,12.3,4.8,196572
The Whole-Brain Child: 12 Revolutionary Strategies to Nurture Your Child's Developing Mind,Daniel J. SiegelTina Payne Bryson,13.39,1,15.2,4.8,11457
The Guardians: A Novel,John Grisham,17.26,1,8.8,4.5,30098
Untamed (Random House Large Print),Glennon Doyle,16.73,1,15.2,4.6,56480
Giraffes Can't Dance,Giles AndreaeGuy Parker-Rees,6.28,5,9.6,4.8,27188
Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,12.97,1,12,4.7,11868
Greenlights,Matthew McConaughey,29.99,1,5.6,4.7,48136
"Oh, the Places You'll Go!",Dr. Seuss,8.98,1,15.2,4.9,33603
Squeeze Me: A novel,Carl Hiaasen,12.98,1,9.9,4.4,16387
"We're Different, We're the Same (Sesame Street) (Pictureback(R))",Joe Mathieu,3.3,1,2.79,4.9,10132
The Beekeeper of Aleppo: A Novel,Christy Lefteri,8.96,1,8.8,4.4,19169
Looking For Alaska,John Green,16.99,4,14.1,4.6,13463
Catching Fire |Hunger Games|2,Suzanne Collins,7.98,3,11.7,4.7,28969
The Guardians: A Novel,John Grisham,10.8,1,8.8,4.5,30098
The Lincoln Highway: A Novel,Amor Towles,39.95,1,12.4,4.5,14056
The Gifts of Imperfection: 10th Anniversary Edition: Features a new foreword and brand-new tools,Brené Brown,13.14,1,13.6,4.7,25019
Sooley: A Novel,John Grisham,33.2,1,8.5,4.5,28404
The Hill We Climb: An Inaugural Poem for the Country,Amanda Gorman,9.58,4,5.1,4.9,12392
Are You My Mother? (Bright & Early Board Books(TM)),P.D. Eastman,3.3,1,4,4.9,15012
High Achiever: The Incredible True Story of One Addict's Double Life,Tiffany Jenkins,12.18,1,12,4.7,15251
Oh Say Can You Say Di-no-saur?: All About Dinosaurs (Cat in the Hat's Learning Library),Bonnie Worth,5.47,1,8.5,4.8,14106
There's No Place Like Space: All About Our Solar System (Cat in the Hat's Learning Library),Tish RabeAristides Ruiz,8.98,3,7,4.8,22023
Mockingjay (Hunger Games),Suzanne Collins,8.69,3,11.5,4.6,33370
Better Off Dead: A Jack Reacher Novel,Lee Child,20.54,1,14.4,4.1,17655
I Am a Big Brother (Caroline Jayne Church),Caroline Jayne Church,5,5,6.4,4.8,11985
A Long Petal of the Sea: A Novel,Isabel Allende,14.49,1,9.1,4.4,10398
Camino Winds: A Novel,John Grisham,7.48,1,6.4,4.4,26661
Guts: A Graphic Novel,Raina Telgemeier,5.9,4,14.1,4.8,11788
A Time for Mercy: A Jake Brigance Novel,John Grisham,7.48,1,12,4.6,65351
A Time for Mercy: A Jake Brigance Novel,John Grisham,14.38,1,12,4.6,65351
Jesus Calling - Deluxe Edition Teal Cover: Enjoying Peace in His Presence,Sarah Young,9.39,3,14,4.9,30551
"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",Erik Larson,40.61,1,12.8,4.7,24717
The Judge's List: A Novel (The Whistler),John Grisham,39.99,1,6.4,4.5,23704
The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company (Random House Large Print),Robert Iger,16.8,1,15.5,4.8,11741
"The Old Man and The Sea, Book Cover May Vary",Ernest Hemingway,11.39,4,4.9,4.6,14695
Teach Yourself to Play Guitar: A Quick and Easy Introduction for Beginners,David M. Brewster,6.99,1,6.6,4.4,11537
Such a Fun Age,Kiley Reid,10.36,1,9.6,4.2,21648
Hair Love,Vashti Harrison,8.98,1,13.4,4.9,15358
A Long Walk to Water: Based on a True Story,Linda Sue Park,14.4,3,9.3,4.8,13442
"Relationship Goals: How to Win at Dating, Marriage, and Sex",Michael Todd,11.16,1,11.4,4.8,19696
When God Made You,Matthew Paul Turner,7.39,1,9.5,4.9,16525
The Midnight Library: A Novel,Matt Haig,13.29,1,14.4,4.3,122000
Number the Stars,Lois Lowry,8.99,5,4.5,4.8,10342
A Long Walk to Water: Based on a True Story,Linda Sue Park,7.64,3,3.52,4.8,13442
Battle Ground (Dresden Files),Jim Butcher,7.48,1,10.4,4.8,20253
The Testaments: A Novel (The Handmaid's Tale),Margaret Atwood,12.26,3,11.2,4.6,25363
Hidden Valley Road: Inside the Mind of an American Family,Robert Kolker,14.85,1,12.8,4.5,12424
Origin: A Novel (Robert Langdon),Dan Brown,8.35,1,12.2,4.4,29463
"My Sister, the Serial Killer: A Novel",Oyinkan Braithwaite,9.63,1,8.8,4.2,10366
The Return of the King: Being the Third Part of the Lord of the Rings,J.R.R. Tolkien,12.14,2,12.8,4.8,17171
The Hobbit,J. R. R. Tolkien,12.92,4,9.6,4.8,28562
Our Class is a Family,Shannon Olsen,11.99,2,4.2,4.8,10447
Jane Eyre (Bantam Classics),Charlotte Bronte,5.95,2,8.4,4.6,14852
A Christmas Carol (Bantam Classics),Charles Dickens,3.95,2,2.19,4.7,12865
Pride and Prejudice (Bantam Classics),Jane Austen,5.95,3,5.8,4.6,24978
The Giver (1) (Giver Quartet),Lois Lowry,5.55,5,7.2,4.7,22330
Where the Red Fern Grows,Wilson Rawls,6.19,3,5,4.8,10395
The Silmarillion,J.R.R. Tolkien,15.49,3,11.2,4.7,10261
Number the Stars 25th Anniversary,Lois Lowry,16.19,2,9.6,4.8,10342
The Giver Movie Tie-In Edition (1) (Giver Quartet),Lois Lowry,5,3,7.7,4.7,22330
Foundation,Isaac Asimov,6.79,4,5.8,4.5,10805
A Brief History of Time,Stephen Hawking,7.99,1,11.6,4.7,12030
The Outsiders 40th Anniversary edition,S. E. Hinton,13.28,2,10.9,4.8,25054
One Day in December: A Novel,Josie Silver,12.58,1,10.4,4.4,12557
We're Going on a Bear Hunt (Classic Board Books),Michael Rosen,7.99,3,8.8,4.8,10531
The Outsiders,S. E. Hinton,13.39,1,11.2,4.8,25054
Spilled Milk: Based on a true story,K.L Randis,19.99,3,14.9,4.7,18179
Mexican Gothic,Silvia Moreno-Garcia,12.07,2,9.6,4.2,17554
The Guardians: A Novel,John Grisham,7.48,1,8.8,4.5,30098
